address,authority,latitude,longitude
"2694 ST MARYS 
",CHITUNGWIZA MUNICIPALITY,-17.99446792,31.03119324
"2795 4202 ST MARYS 
",CHITUNGWIZA MUNICIPALITY,-17.99551402,31.02983487
"2800 197 JEKACHEKA ROAD
",CHITUNGWIZA MUNICIPALITY,-17.99622839,31.02902985
"2817 CHIRATIDZO ST MARYS DRIVE
",CHITUNGWIZA MUNICIPALITY,-17.99599471,31.0300127
"2820 201 JEKACHEKA ROAD
",CHITUNGWIZA MUNICIPALITY,-17.99610213,31.03013861
"2801 130 CHIRATIDZO ST MARYS DRIVE
",CHITUNGWIZA MUNICIPALITY,-17.99611538,31.02911078
"2810 199 JEKACHEKA ROAD
",CHITUNGWIZA MUNICIPALITY,-17.99616204,31.02956675
"2812 214 JEKACHEKA ROAD
",CHITUNGWIZA MUNICIPALITY,-17.99615233,31.02968769
2821 202 JEKACHEKA ROAD,CHITUNGWIZA MUNICIPALITY,-17.99596914,31.03022067
3023 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99528344,31.02895543
"2679 ST MARYS 
",CHITUNGWIZA MUNICIPALITY,-17.99429251,31.03196354
3020 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99531593,31.02867682
6835 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99418807,31.02956794
2979 2799 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99583514,31.02797915
2692 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99445087,31.03127754
2983 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99584936,31.02834908
2803 227 JEKACHEKA ROAD,CHITUNGWIZA MUNICIPALITY,-17.99609653,31.02921523
2767 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99477733,31.03213798
2769 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99535669,31.0312578
2738 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99492613,31.03029254
2750 CHIEDZA,CHITUNGWIZA MUNICIPALITY,-17.99498467,31.03111901
